iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
847	266	296	266	340	266	340	296
848	266	296	266	340	266	340	296
849	266	296	266	340	266	340	296
850	266	296	266	340	266	340	296
851	266	296	266	340	266	340	296
852	266	296	266	340	266	340	296
853	266	296	266	340	266	340	296
854	266	296	266	340	266	340	296
855	266	296	266	340	266	340	296
856	268	299	268	340	268	340	299
857	268	299	268	340	268	340	299
858	268	299	268	340	268	340	299
859	266	296	266	340	266	340	296
860	266	296	266	340	266	340	296
861	266	296	266	340	266	340	296
862	268	299	268	340	268	340	299
863	266	296	266	340	266	340	296
864	268	299	268	340	268	340	299
865	268	299	268	340	268	340	299
866	268	299	268	340	268	340	299
867	266	296	266	340	266	340	296
868	266	296	266	340	266	340	296
869	263	293	263	340	263	340	293
870	263	293	263	340	263	340	293
871	263	293	263	340	263	340	293
872	263	293	263	340	263	340	293
873	266	296	266	340	266	340	296
874	266	296	266	340	266	340	296
875	266	296	266	340	266	340	296
876	266	296	266	340	266	340	296
877	266	296	266	340	266	340	296
878	266	296	266	340	266	340	296
879	261	290	261	340	261	340	290
880	263	293	263	340	263	340	293
881	263	293	263	340	263	340	293
882	263	293	263	340	263	340	293
883	266	296	266	340	266	340	296
884	266	296	266	340	266	340	296
885	266	296	266	340	266	340	296
886	266	296	266	340	266	340	296
887	266	296	266	340	266	340	296
888	263	293	263	340	263	340	293
889	266	296	266	340	266	340	296
890	266	296	266	340	266	340	296
891	266	296	266	340	266	340	296
892	266	296	266	340	266	340	296
893	266	296	266	340	266	340	296
894	266	296	266	340	266	340	296
895	268	299	268	340	268	340	299
896	268	299	268	340	268	340	299
897	268	299	268	340	268	340	299
898	268	299	268	340	268	340	299
899	268	299	268	340	268	340	299
900	268	299	268	340	268	340	299
901	268	299	268	340	268	340	299
902	268	299	268	340	268	340	299
903	268	299	268	340	268	340	299
904	268	299	268	340	268	340	299
905	268	299	268	340	268	340	299
906	268	299	268	340	268	340	299
907	268	299	268	340	268	340	299
908	268	299	268	340	268	340	299
909	268	299	268	340	268	340	299
910	268	299	268	340	268	340	299
911	268	299	268	340	268	340	299
912	268	299	268	340	268	340	299
913	264	293	264	340	264	340	293
914	264	293	264	340	264	340	293
915	264	293	264	340	264	340	293
916	266	296	266	340	266	340	296
917	266	296	266	340	266	340	296
918	266	296	266	340	266	340	296
919	263	293	263	340	263	340	293
920	263	293	263	340	263	340	293
921	263	293	263	340	263	340	293
922	263	293	263	340	263	340	293
923	263	293	263	340	263	340	293
924	263	293	263	340	263	340	293
925	263	293	263	340	263	340	293
926	266	296	266	340	266	340	296
927	263	293	263	340	263	340	293
928	263	293	263	340	263	340	293
929	263	293	263	340	263	340	293
930	263	293	263	340	263	340	293
931	263	293	263	340	263	340	293
932	263	293	263	340	263	340	293
933	263	293	263	340	263	340	293
934	266	296	266	340	266	340	296
935	266	296	266	340	266	340	296
936	266	296	266	340	266	340	296
937	266	296	266	340	266	340	296
938	266	296	266	340	266	340	296
939	266	296	266	340	266	340	296
940	266	296	266	340	266	340	296
941	266	296	266	340	266	340	296
942	266	296	266	340	266	340	296
943	266	296	266	340	266	340	296
944	266	296	266	340	266	340	296
945	266	296	266	340	266	340	296
946	266	296	266	340	266	340	296
947	266	296	266	340	266	340	296
948	266	296	266	340	266	340	296
949	266	296	266	340	266	340	296
950	266	296	266	340	266	340	296
951	266	296	266	340	266	340	296
952	266	296	266	340	266	340	296
953	266	296	266	340	266	340	296
954	266	296	266	340	266	340	296
955	266	296	266	340	266	340	296
956	265	295	265	340	265	340	295
957	266	296	266	340	266	340	296
958	267	297	267	340	267	340	297
959	267	297	267	340	267	340	297
960	267	297	267	340	267	340	297
961	267	297	267	340	267	340	297
962	267	297	267	340	267	340	297
963	267	297	267	340	267	340	297
964	267	297	267	340	267	340	297
965	267	297	267	340	267	340	297
966	267	297	267	340	267	340	297
967	267	297	267	340	267	340	297
968	267	297	267	340	267	340	297
969	267	297	267	340	267	340	297
970	267	297	267	340	267	340	297
971	267	297	267	340	267	340	297
972	266	296	266	340	266	340	296
973	266	296	266	340	266	340	296
974	266	296	266	340	266	340	296
975	266	296	266	340	266	340	296
976	266	296	266	340	266	340	296
977	266	296	266	340	266	340	296
978	266	296	266	340	266	340	296
979	266	296	266	340	266	340	296
980	266	296	266	340	266	340	296
981	266	296	266	340	266	340	296
982	266	296	266	340	266	340	296
983	266	296	266	340	266	340	296
984	266	296	266	340	266	340	296
985	266	296	266	340	266	340	296
986	266	296	266	340	266	340	296
987	266	296	266	340	266	340	296
988	266	296	266	340	266	340	296
989	266	296	266	340	266	340	296
990	266	296	266	340	266	340	296
991	266	296	266	340	266	340	296
992	266	296	266	340	266	340	296
993	266	296	266	340	266	340	296
994	266	296	266	340	266	340	296
995	266	296	266	340	266	340	296
996	266	296	266	340	266	340	296
997	266	296	266	340	266	340	296
998	266	296	266	340	266	340	296
999	266	296	266	340	266	340	296
