iter	Passed	Remaining
406	4679	6818
407	4688	6803
408	4698	6789
409	4717	6788
410	4746	6802
411	4753	6783
412	4769	6778
413	4784	6772
414	4801	6768
415	4811	6754
416	4820	6739
417	4834	6731
418	4849	6724
419	4857	6708
420	4897	6734
421	4909	6723
422	4924	6717
423	4938	6709
424	4968	6722
425	4985	6716
426	4998	6707
427	5007	6692
428	5020	6682
429	5031	6669
430	5053	6671
431	5064	6658
432	5074	6644
433	5088	6635
434	5097	6620
435	5106	6606
436	5117	6592
437	5125	6577
438	5137	6564
439	5149	6554
440	5160	6541
441	5170	6527
442	5186	6521
443	5196	6507
444	5212	6500
445	5221	6486
446	5229	6470
447	5243	6460
448	5257	6451
449	5267	6438
450	5277	6424
451	5288	6412
452	5295	6394
453	5307	6382
454	5317	6368
455	5326	6354
456	5342	6347
457	5358	6340
458	5380	6341
459	5394	6332
460	5418	6335
461	5432	6326
462	5443	6313
463	5461	6309
464	5477	6302
465	5490	6291
466	5501	6279
467	5512	6266
468	5526	6257
469	5538	6245
470	5553	6237
471	5576	6238
472	5589	6227
473	5603	6218
474	5613	6204
475	5621	6188
476	5631	6174
477	5645	6165
478	5654	6150
479	5685	6159
480	5694	6144
481	5709	6136
482	5715	6117
483	5726	6104
484	5736	6091
485	5745	6076
486	5759	6066
487	5781	6065
488	5800	6060
489	5808	6045
490	5816	6030
491	5826	6015
492	5832	5997
493	5841	5983
494	5850	5968
495	5860	5954
496	5869	5940
497	5899	5946
498	5922	5946
499	5934	5934
500	5956	5932
501	5966	5919
502	5972	5900
503	5984	5889
504	5995	5876
505	6003	5861
506	6012	5846
507	6022	5832
508	6031	5818
509	6040	5803
510	6050	5790
511	6058	5774
512	6066	5759
513	6076	5745
514	6093	5738
515	6105	5727
516	6118	5715
517	6130	5704
518	6145	5695
519	6156	5682
520	6163	5666
521	6174	5654
522	6180	5637
523	6196	5628
524	6202	5611
525	6210	5596
526	6216	5579
527	6226	5565
528	6235	5551
529	6245	5538
530	6255	5525
531	6265	5511
532	6275	5498
533	6290	5489
534	6305	5480
535	6318	5470
536	6333	5460
537	6343	5447
538	6361	5440
539	6375	5431
540	6389	5421
541	6405	5412
542	6414	5398
543	6423	5384
544	6445	5380
545	6456	5368
546	6470	5358
547	6481	5345
548	6495	5336
549	6510	5326
550	6524	5316
551	6538	5306
552	6552	5296
553	6562	5283
554	6572	5269
555	6580	5255
556	6590	5241
557	6602	5229
558	6612	5217
559	6622	5203
560	6631	5188
561	6640	5175
562	6649	5160
563	6657	5146
564	6667	5133
565	6677	5119
566	6688	5107
567	6701	5096
568	6716	5087
569	6729	5076
570	6743	5066
571	6753	5053
572	6763	5040
573	6776	5028
574	6785	5015
575	6792	5000
576	6804	4988
577	6815	4975
578	6824	4961
579	6833	4948
580	6842	4934
581	6851	4920
582	6860	4906
583	6886	4905
584	6902	4896
585	6927	4894
586	6942	4884
587	6952	4871
588	6966	4860
589	6975	4847
590	6985	4834
591	6995	4821
592	7010	4811
593	7019	4797
594	7029	4784
595	7038	4770
596	7047	4757
597	7057	4744
598	7065	4730
599	7075	4716
600	7084	4703
601	7093	4689
602	7102	4676
603	7115	4664
604	7134	4657
605	7148	4647
606	7161	4636
607	7170	4623
608	7181	4610
609	7189	4596
610	7199	4583
611	7208	4570
612	7219	4557
613	7228	4543
614	7236	4530
615	7245	4516
616	7255	4503
617	7264	4490
618	7274	4477
619	7283	4464
620	7301	4455
621	7339	4460
622	7371	4460
623	7385	4450
624	7404	4442
625	7417	4431
626	7434	4422
627	7447	4411
628	7461	4400
629	7475	4390
630	7487	4378
631	7499	4366
632	7504	4351
633	7514	4337
634	7521	4323
635	7532	4311
636	7542	4297
637	7564	4292
638	7578	4281
639	7590	4269
640	7602	4257
641	7611	4244
642	7620	4231
643	7632	4219
644	7642	4206
645	7651	4192
646	7660	4179
647	7670	4166
648	7679	4153
649	7689	4140
650	7699	4127
651	7709	4114
652	7718	4101
653	7727	4088
654	7748	4081
655	7757	4067
656	7773	4058
657	7788	4047
658	7802	4037
659	7814	4025
660	7820	4010
661	7829	3997
662	7838	3984
663	7849	3971
664	7858	3958
665	7893	3958
666	7908	3948
667	7918	3935
668	7927	3922
669	7940	3911
670	7950	3898
671	7959	3885
672	7973	3874
673	7986	3862
674	7996	3850
675	8005	3836
676	8016	3824
677	8030	3813
678	8040	3800
679	8048	3787
680	8059	3775
681	8068	3762
682	8078	3749
683	8087	3736
684	8096	3723
685	8106	3710
686	8115	3697
687	8127	3685
688	8137	3673
689	8146	3660
690	8161	3649
691	8176	3639
692	8190	3628
693	8201	3616
694	8213	3604
695	8223	3591
696	8240	3582
697	8249	3569
698	8260	3557
699	8270	3544
700	8285	3533
701	8299	3523
702	8314	3512
703	8334	3504
704	8359	3498
705	8376	3488
706	8392	3478
707	8408	3467
708	8424	3457
709	8441	3447
710	8473	3444
711	8490	3434
712	8502	3422
713	8518	3412
714	8537	3403
715	8559	3395
716	8574	3384
717	8599	3377
718	8618	3368
719	8633	3357
720	8650	3347
721	8678	3341
722	8694	3331
723	8712	3321
724	8732	3312
725	8770	3310
726	8786	3299
727	8804	3289
728	8823	3280
729	8837	3268
730	8875	3265
731	8898	3257
732	8929	3252
733	8948	3242
734	8971	3234
735	8990	3224
736	9007	3214
